"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","testCetakErrorRentang()","","Sun May 04 23:07:06 WIB 2025","passed","Sun May 04 23:07:06 WIB 2025","","CetakErrorRentangTest","CetakErrorRentangTest","testCetakErrorRentang"
"","47","multipleValidThenTerminate()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","RunKalkulatorTest","RunKalkulatorTest","multipleValidThenTerminate"
"","17","Menguji masukan yang valid","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","ValidasiTest","ValidasiTest","validasiInputValidTest"
"","3","Menguji operator yang valid yaitu /","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","ValidasiOperatorTest","ValidasiOperatorTest","operatorValidBagiTest"
"","1","Menguji angka pertama pada batas atas rentangPertama","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","ValidasiRentangTest","ValidasiRentangTest","rentangPertamaBatasAtasTest"
"","7","invalidThenTerminate()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","RunKalkulatorTest","RunKalkulatorTest","invalidThenTerminate"
"","1","testKurangAngkaNegPos()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","kurangTest","kurangTest","testKurangAngkaNegPos"
"","1","testTambahAngkaNegatif()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","tambahTest","tambahTest","testTambahAngkaNegatif"
"","3","testInputOpSalah2()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","inputOperatorTest","inputOperatorTest","testInputOpSalah2"
"","4","testInputDenganNomor()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","inputNomorTest","inputNomorTest","testInputDenganNomor"
"","2","Menguji angka kedua di luar rentang yaitu bernilai lebih dari 32767","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","ValidasiRentangTest","ValidasiRentangTest","rentangKeduaLebihDariBatasAtasTest"
"","3","Menguji tipe data keduanya input yang tidak valid","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","ValidasiTipeDataTest","ValidasiTipeDataTest","tipeDataKeduanyaInvalidTest"
"","4","testKurangAngkaPositif()","","Sun May 04 23:07:06 WIB 2025","passed","Sun May 04 23:07:06 WIB 2025","","bagiTest","bagiTest","testKurangAngkaPositif"
"","2","Menguji kedua angka berada dalam rentang -32768 sampai dengan 32767","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","ValidasiRentangTest","ValidasiRentangTest","rentangValidTest"
"","5","Menguji rentang masukan angka yang tidak valid","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","ValidasiTest","ValidasiTest","validasiRentangInvalidTest"
"","2","testTambahAngkaNolNeg()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","tambahTest","tambahTest","testTambahAngkaNolNeg"
"","3","terminateEarly()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","RunKalkulatorTest","RunKalkulatorTest","terminateEarly"
"","7","Menguji operator yang tidak valid","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","ValidasiTest","ValidasiTest","validasiOperatorInvalidTest"
"","2","testTambahAngkaPosNeg()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","tambahTest","tambahTest","testTambahAngkaPosNeg"
"","7","testInputBagi()","","Sun May 04 23:07:09 WIB 2025","passed","Sun May 04 23:07:09 WIB 2025","","inputOperatorTest","inputOperatorTest","testInputBagi"
